m_title,thtr_rel_year,bechdel,genre,avg_score,critics_score,audience_score,rt_url,mpaa_rating,actor1,actor2,top200_box,imdb_id
The Secret Garden,1993,PASS,Drama,82.5,85,80,//www.rottentomatoes.com/m/1045518-secret_garden/,G,Kate Maberly,Maggie Smith,no,tt0108071
Fast & Furious,2009,FAIL,Mystery & Suspense,47.5,28,67,//www.rottentomatoes.com/m/fast_and_furious/,PG-13,Vin Diesel,Paul Walker,no,tt1013752
House of 1000 Corpses,2003,PASS,Horror,42,19,65,//www.rottentomatoes.com/m/house_of_1000_corpses/,R,Sid Haig,Bill Moseley,no,tt0251736
Little Manhattan,2005,PASS,Drama,81.5,77,86,//www.rottentomatoes.com/m/little_manhattan/,PG,Josh Hutcherson,Bradley Whitford,no,tt0412922
Mirrors,2008,FAIL,Mystery & Suspense,29,14,44,//www.rottentomatoes.com/m/1197016-mirrors/,R,Kiefer Sutherland,Paula Patton,no,tt0790686
Flipped,2010,PASS,Drama,66.5,55,78,//www.rottentomatoes.com/m/flipped/,PG,Madeline Carroll,Callan McAuliffe,no,tt0817177
Snake Eyes,1998,FAIL,Drama,37.5,40,35,//www.rottentomatoes.com/m/snake_eyes/,R,Nicolas Cage,Gary Sinise,no,tt0120832
What About Bob?,1991,FAIL,Drama,81,83,79,//www.rottentomatoes.com/m/what_about_bob/,PG,Bill Murray,Richard Dreyfuss,no,tt0103241
Real Steel,2011,FAIL,Drama,66.5,60,73,//www.rottentomatoes.com/m/real_steel/,PG-13,Hugh Jackman,Dakota Goyo,no,tt0433035
Wanted,2008,FAIL,Action & Adventure,70.5,72,69,//www.rottentomatoes.com/m/1174279-wanted/,R,James McAvoy,Morgan Freeman,no,tt0493464
Mallrats,1995,FAIL,Comedy,68.5,55,82,//www.rottentomatoes.com/m/mallrats/,R,Shannen Doherty,Jeremy London,no,tt0113749
Ray,2004,PASS,Drama,84,81,87,//www.rottentomatoes.com/m/ray/,PG-13,Jamie Foxx,Kerry Washington,no,tt0350258
Coach Carter,2005,PASS,Drama,75,65,85,//www.rottentomatoes.com/m/coach_carter/,PG-13,Samuel L. Jackson,Rob Brown (VI),no,tt0393162
Training Day,2001,FAIL,Drama,80.5,72,89,//www.rottentomatoes.com/m/training_day/,R,Denzel Washington,Ethan Hawke,no,tt0139654
Saturday Night Fever,1977,FAIL,Drama,79.5,88,71,//www.rottentomatoes.com/m/saturday_night_fever/,R,John Travolta,Karen Lynn Gorney,yes,tt0076666
Hairspray,1988,PASS,Drama,88.5,97,80,//www.rottentomatoes.com/m/1009096-hairspray/,PG,Divine,Ricki Lake,no,tt0095270
Shooter,2007,FAIL,Drama,64,48,80,//www.rottentomatoes.com/m/shooter/,R,Mark Wahlberg,Michael Pena,no,tt0822854
Jerry Maguire,1996,FAIL,Drama,82,85,79,//www.rottentomatoes.com/m/jerry_maguire/,R,Tom Cruise,Cuba Gooding Jr.,no,tt0116695
The Little Mermaid,1989,PASS,Other,90,92,88,//www.rottentomatoes.com/m/the_little_mermaid_1989/,G,Jodi Benson,Samuel E. Wright,no,tt0097757
Jaws 2,1978,FAIL,Action & Adventure,45.5,53,38,//www.rottentomatoes.com/m/jaws_2/,PG,Roy Scheider,Lorraine Gary,no,tt0077766
Velvet Goldmine,1998,FAIL,Other,68,56,80,//www.rottentomatoes.com/m/velvet_goldmine/,R,Ewan McGregor,Jonathan Rhys Meyers,no,tt0120879
Taking Lives,2004,FAIL,Drama,38.5,22,55,//www.rottentomatoes.com/m/taking_lives/,R,Angelina Jolie,Ethan Hawke,no,tt0364045
Titanic,1997,PASS,Drama,78.5,88,69,//www.rottentomatoes.com/m/titanic/,PG-13,Leonardo DiCaprio,Kate Winslet,yes,tt0120338
Captain Phillips,2013,FAIL,Drama,91,93,89,//www.rottentomatoes.com/m/captain_phillips/,PG-13,Tom Hanks,Catherine Keener,no,tt1535109
The Long Kiss Goodnight,1996,PASS,Mystery & Suspense,68.5,67,70,//www.rottentomatoes.com/m/long_kiss_goodnight/,R,Geena Davis,Samuel L. Jackson,no,tt0116908
The Hunger Games,2012,PASS,Drama,82.5,84,81,//www.rottentomatoes.com/m/the_hunger_games/,PG-13,Jennifer Lawrence,Josh Hutcherson,yes,tt1392170
The Lake House,2006,PASS,Drama,54,35,73,//www.rottentomatoes.com/m/lake_house/,PG,Keanu Reeves,Sandra Bullock,no,tt0410297
In the Name of the Father,1993,FAIL,Drama,94.5,94,95,//www.rottentomatoes.com/m/in_the_name_of_the_father/,R,Daniel Day-Lewis,Pete Postlethwaite,no,tt0107207
Capote,2005,PASS,Drama,85.5,90,81,//www.rottentomatoes.com/m/1151898-capote/,R,Philip Seymour Hoffman,Catherine Keener,no,tt0379725
Tarzan,1999,FAIL,Drama,81,88,74,//www.rottentomatoes.com/m/tarzan/,G,Tony Goldwyn,Glenn Close,no,tt0120855
Dance of the Dead,2008,FAIL,Action & Adventure,66,80,52,//www.rottentomatoes.com/m/1203339-dance_of_the_dead/,R,Jared Kusnitz,Greyson Chadwick,no,tt0926063
Around the World in 80 Days,2004,FAIL,Action & Adventure,32.5,31,34,//www.rottentomatoes.com/m/around_the_world_in_80_days/,PG,Jackie Chan,Steve Coogan,yes,tt0327437
